cve_edo,Municipio,PD1,PD2,PD3,Total
31, PROGRESO,21089658.01,2842499.98,39118504.72,63050662.71
31, QUINTANA ROO,15625.4,0,0,15625.4
31, RIO LAGARTOS,73000,0,0,73000
31, SACALUM,3716.55,0,350545.96,354262.51
31, SAN FELIPE,0,0,17540430,17540430
31, SANTA ELENA,561.6,0,0,561.6
31, SEYE,10671.16,0,970554.63,981225.79
31, SUCILA,18334.76,0,0,18334.76
31, SUDZAL,38486.48,74321.67,0,112808.15
31, TAHDZIU,75893.14,0,0,75893.14
31, TAHMEK,25784.95,0,0,25784.95
31, TEKAL DE VENEGAS,481161.94,0,0,481161.94
31, TEKANTO,75514.23,0,0,75514.23
31, TEKAX,3016171.79,3960156.3,950537.09,7926865.18
31, TEKIT,17438.35,21048.14,0,38486.49
31, TECOH,49283.77,0,83192.92,132476.69
31, TEKOM,45103.4,0,0,45103.4
31, TEMAX,1729.97,7330.88,0,9060.85
31, TEMOZON,223060.87,194440,100000,517500.87
31, TETIZ,2142.5,0,0,2142.5
31, TICUL,3164032.04,320000,0,3484032.04
31, TIMUCUY,0,68616.16,74163.36,142779.52
31, TINUM,452820.37,0,0,452820.37
31, TIXCACALCUPUL,372436.5,0,0,372436.5
31, TIXKOKOB,0,47905.27,5938338.89,5986244.16
31, TIXMEUAC,97374.31,0,0,97374.31
31, TIXPEUAL,405198.24,0,0,405198.24
31, TIZIMIN,3112366.34,222000,794006.26,4128372.6
31, TUNKAS,0,0,114823.44,114823.44
31, TZUCACAB,845740.11,1012660,129150,1987550.11
31, UAYMA,213442.04,0,0,213442.04
31, UMAN,0,795499.99,3230079.66,4025579.65
31, VALLADOLID,9972490.71,902702.3,19890541.97,30765734.98
31, YAXCABA,185849.97,213499.99,0,399349.96
31, YOBAIN,0,0,287059.5,287059.5
32, APULCO,132747.05,0,0,132747.05
32, ATOLINGA,19216.68,0,29269.16,48485.84
32, BENITO JUAREZ,9615374.2,4145778.19,3531532.29,17292684.68
32, CALERA,1621298.21,14511823.27,14225302.51,30358423.99
32, CANITAS DE FELIPE ,145177.67,127241.99,43006.07,315425.73
32, CHALCHIHUITES,5407.05,218260.36,889096.94,1112764.35
32, CONCEPCION DEL ORO,0,0,6637.42,6637.42
32, CUAUHTEMOC,36274.62,0,0,36274.62
32, EL SALVADOR,338.26,0,0,338.26
32, FRESNILLO,41939597.26,29874581.67,30173864.78,101988043.71
32, GENERAL ENRIQUE ES,200000,2541862.71,1008816.28,3750678.99
32, GENARO CODINA,1463525.25,0,0,1463525.25
32, GENERAL FRANCISCO ,2551840.27,746595.16,430176.03,3728611.46
32, GENERAL PANFILO NA,6745733.6,22376.77,4196.65,6772307.02
32, GUADALUPE,7397813,15835715.02,1214445.64,24447973.66
32, JALPA,3404760.68,14289.93,48690.91,3467741.52
32, JEREZ,2823282.01,4791505.59,714317.62,8329105.22
32, JIMENEZ DEL TEUL,0,1011953.6,0,1011953.6
32, JUAN ALDAMA,17175207.02,625686.43,910044.32,18710937.77
32, LORETO,11631342.72,12933628.33,20865387.9,45430358.95
32, LUIS MOYA,580727.84,512058.88,3290121.38,4382908.1
32, MAZAPIL,1744667.18,142690.09,801937.04,2689294.31
32, MELCHOR OCAMPO,0,0,6110.67,6110.67
32, MEZQUITAL DEL ORO,0,0,9087.56,9087.56
32, MIGUEL AUZA,151700563.29,20826979.89,6120607.79,178648150.97
32, MOMAX,2629810.45,770000,0,3399810.45
32, MONTE ESCOBEDO,8639509.77,3547389.27,3701320.97,15888220.01
32, MORELOS,21279992.83,46244.03,765141.62,22091378.48
32, NOCHISTLAN DE MEJI,0,0,56482.43,56482.43
32, NORIA DE ANGELES,540394.91,0,0,540394.91
32, OJOCALIENTE,8247301.89,2423100.56,951817.04,11622219.49
32, PANUCO,6930416.13,5414471.15,2162991.7,14507878.98
32, PINOS,37175511.55,933442.69,0,38108954.24
32, RIO GRANDE,6786710.69,8285714.32,722800.54,15795225.55
32, SAIN ALTO,1850964.59,2761537.22,1593297.85,6205799.66
32, SOMBRERETE,17763402.72,6892746.62,9475172.98,34131322.32
32, SUSTICACAN,13940.32,11395.09,0,25335.41
32, TABASCO,0,0,26806.21,26806.21
32, TEPECHITLAN,44353.84,3111480.73,2416168.16,5572002.73
32, TEPETONGO,149113.26,13010.6,5942.91,168066.77
32, TEUL DE GONZALEZ O,0,0,252605.07,252605.07
32, TLALTENANGO DE SAN,4642931.11,1941056.21,313191.96,6897179.28
32, VALPARAISO,0,3466401.81,115249.04,3581650.85
32, VETAGRANDE,2525187.8,4291432.71,2312151.44,9128771.95
32, VILLA DE COS,18577730.47,10070299.26,15035249.67,43683279.4
32, VILLA GARCIA,3550664.84,342000,0,3892664.84
32, VILLA GONZALEZ ORT,0,262775.19,84766.3,347541.49
32, VILLA HIDALGO,2727706.91,492327.08,0,3220033.99
32, VILLANUEVA,4367165.93,4843732.84,190434.92,9401333.69
32, TRANCOSO,1545000,7635.6,0,1552635.6
32, ZACATECAS,17707644.17,1290104.15,168108.52,19165856.84
